GEOID,NAME,avg_ndvi
05109,Pike,0.04788644067796611
05119,Pulaski,0.3786923076923077
05133,Sevier,0.028469642857142857
05139,Union,0.3857919642857143
05147,Woodruff,0.3230933333333334
06041,Marin,0.6110433962264151
06043,Mariposa,0.1073897435897436
06051,Mono,0.1835841945288754
06055,Napa,0.3763604938271605
06057,Nevada,0.15513035714285714
06061,Placer,0.12588367346938778
06071,San Bernardino,0.12797322564855604
06081,San Mateo,0.3876422222222222
06085,Santa Clara,0.17645886524822696
06089,Shasta,0.17138309523809525
06091,Sierra,0.19325339805825248
06099,Stanislaus,0.30870062111801244
06111,Ventura,0.2964253968253968
06115,Yuba,0.30275555555555556
08013,Boulder,0.012012987012987014
08015,Chaffee,0.004214285714285715
08031,Denver,0.004577777777777778
01051,Elmore,0.5587283333333333
01055,Etowah,0.6385679245283018
01069,Houston,0.6140571428571429
01071,Jackson,0.7701648148148149
01089,Madison,0.6903211764705882
01095,Marshall,0.671830909090909
01099,Monroe,0.5969580952380954
01109,Pike,0.6071478873239438
01113,Russell,0.6564907692307693
01117,Shelby,0.48919629629629624
01129,Washington,0.45442523364485987
02020,Anchorage,0.027346712802768167
02105,Hoonah-Angoon,0.16161953642384105
02170,Matanuska-Susitna,0.11628403744599136
02188,Northwest Arctic,0.18574417312472583
02275,Wrangell,0.15290809248554915
02290,Yukon-Koyukuk,0.33828263291139243
04009,Graham,0.0864070796460177
04021,Pinal,0.1711898148148148
04025,Yavapai,0.08109892086330937
05001,Arkansas,0.315794
05011,Bradley,0.24186031746031747
05013,Calhoun,0.3144234375
05041,Desha,0.25734594594594595
05045,Faulkner,0.5753611940298508
22085,Sabine,0.4228987951807229
22099,St. Martin,0.4908586666666668
22101,St. Mary,0.5471568965517242
22105,Tangipahoa,0.5038810810810812
22109,Terrebonne,0.4792720000000001
22115,Vernon,0.4346280991735538
22125,West Feliciana,0.5511975
23003,Aroostook,0.012769427527405603
23007,Franklin,0.31825128205128206
23015,Lincoln,0.11108636363636365
23031,York,0.2184964285714286
24005,Baltimore,0.4460296875
24015,Cecil,0.437483870967742
24021,Frederick,0.3444
24031,Montgomery,0.3503290909090909
24039,Somerset,0.6574666666666668
24041,Talbot,0.5878125
25005,Bristol,0.6615609375
25015,Hampshire,0.0715639344262295
25025,Suffolk,0.329275
26035,Clare,0.025940000000000005
26053,Gogebic,0.5524181818181819
26063,Huron,0.008703225806451612
08051,Gunnison,0.018204335260115608
08055,Huerfano,0.08208520710059171
08065,Lake,-0.004765853658536585
08069,Larimer,0.009799655172413792
08083,Montezuma,0.007217889908256881
08093,Park,-0.002230735930735931
08109,Saguache,0.04792680722891566
08113,San Miguel,-0.004384090909090909
08117,Summit,-0.01981818181818182
09001,Fairfield,0.2932916666666667
09011,New London,0.36507246376811603
10001,Kent,0.586953125
10005,Sussex,0.5623757575757576
12001,Alachua,0.5962977272727273
12007,Bradford,0.5853137931034482
12013,Calhoun,0.6633277777777777
12017,Citrus,0.5527534482758621
12029,Dixie,0.6349179104477612
12033,Escambia,0.43878730158730156
12037,Franklin,0.7131510204081632
12047,Hamilton,0.567025
12053,Hernando,0.49336666666666673
12073,Leon,0.7805779411764706
12077,Liberty,0.7621104651162792
12079,Madison,0.6085
12083,Marion,0.504808125
12089,Nassau,0.4186847457627118
13013,Barrow,0.550788888888889
13027,Brooks,0.5880980769230769
13033,Burke,0.6339306818181819
13049,Charlton,0.6227890410958904
13073,Columbia,0.38217586206896553
13077,Coweta,0.56776875
13079,Crawford,0.5435633333333333
13103,Effingham,0.5543489361702127
13107,Emanuel,0.5624215384615385
13113,Fayette,0.5064157894736843
13127,Glynn,0.46462352941176477
13133,Greene,0.546825
13137,Habersham,0.65035
13141,Hancock,0.7526875000000001
13151,Henry,0.5501454545454546
13157,Jackson,0.7318909090909091
30099,Teton,0.002711447811447811
31069,Garden,0.0002904040404040404
31103,Keya Paha,-0.005078888888888889
31115,Loup,-0.004012857142857143
31139,Pierce,-0.003848571428571429
31171,Thomas,-0.0033607142857142855
32011,Eureka,0.04891965811965813
32015,Lander,0.031127879799666112
32031,Washoe,0.13850374100719426
32033,White Pine,0.07677180570221753
33009,Grafton,0.2458597989949749
34001,Atlantic,0.6052962264150944
34005,Burlington,0.5107402298850574
34011,Cumberland,0.625829411764706
34015,Gloucester,0.48829999999999996
34025,Monmouth,0.3131294117647059
34029,Ocean,0.36801525423728815
34035,Somerset,0.3868870967741936
17039,De Witt,0.24120208333333334
17097,Lake,0.045002040816326534
17147,Piatt,0.226421568627451
17175,Stark,0.026405555555555557
17185,Wabash,0.46627
17189,Washington,0.5726063492063491
18009,Blackford,0.009606666666666668
18053,Grant,0.01614
18069,Huntington,0.015376190476190477
18083,Knox,0.4520339285714286
18161,Union,0.18742083333333334
18175,Washington,0.7016236363636363
19015,Boone,0.06921746031746032
19059,Dickinson,0.09972888888888891
19105,Jones,0.17350793650793653
19143,Osceola,0.1089888888888889
19163,Scott,0.12471800000000002
19195,Worth,0.154086
20023,Cheyenne,0.0077384615384615395
20047,Edwards,-0.01371746031746032
20129,Morton,0.0141625
20149,Pottawatomie,-0.023265882352941178
20185,Stafford,-0.021065060240963857
20203,Wichita,0.10699444444444445
21003,Allen,0.8086424242424243
21007,Ballard,0.6461259259259259
21017,Bourbon,0.68979
21027,Breckinridge,0.7823396551724138
21031,Butler,0.7808021276595746
21033,Caldwell,0.7310342105263158
21043,Carter,0.86348
21051,Clay,0.8561923076923078
21055,Crittenden,0.7813114285714285
21065,Estill,0.8244607142857142
21071,Floyd,0.7930285714285714
21085,Grayson,0.7944754716981133
21089,Greenup,0.8256783783783784
21095,Harlan,0.7559901960784313
21099,Hart,0.7994499999999999
21109,Jackson,0.8742911764705883
21115,Johnson,0.8411551724137931
21119,Knott,0.8135199999999999
21123,Larue,0.7201516129032258
21125,Laurel,0.8309717391304348
21133,Letcher,0.7124457142857143
21135,Lewis,0.8317274509803922
21153,Magoffin,0.8413393939393939
21159,Martin,0.8312333333333334
21167,Mercer,0.7354115384615384
21179,Nelson,0.764379069767442
21183,Ohio,0.7613868852459016
21193,Perry,0.7980435897435897
21197,Powell,0.8198
21203,Rockcastle,0.8470911764705882
21231,Wayne,0.8553422222222222
22035,East Carroll,0.46812750000000003
22037,East Feliciana,0.4542673913043479
22041,Franklin,0.40291363636363636
22045,Iberia,0.5067222222222223
