"Notes"	"County"	"County Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Madison County, AR"	"05087"	"2008"	"2008"	17	15619	Unreliable
	"Marion County, AR"	"05089"	"2008"	"2008"	25	16996	147.1
	"Miller County, AR"	"05091"	"2008"	"2008"	43	43047	99.9
	"Mississippi County, AR"	"05093"	"2008"	"2008"	70	47037	148.8
	"Monroe County, AR"	"05095"	"2008"	"2008"	15	8456	Unreliable
	"Montgomery County, AR"	"05097"	"2008"	"2008"	28	9573	292.5
	"Nevada County, AR"	"05099"	"2008"	"2008"	14	9062	Unreliable
	"Newton County, AR"	"05101"	"2008"	"2008"	13	8423	Unreliable
	"Ouachita County, AR"	"05103"	"2008"	"2008"	26	26202	99.2
	"Perry County, AR"	"05105"	"2008"	"2008"	13	10441	Unreliable
	"Phillips County, AR"	"05107"	"2008"	"2008"	19	22411	Unreliable
	"Pike County, AR"	"05109"	"2008"	"2008"	26	11283	230.4
	"Poinsett County, AR"	"05111"	"2008"	"2008"	38	24599	154.5
	"Polk County, AR"	"05113"	"2008"	"2008"	28	20388	137.3
	"Pope County, AR"	"05115"	"2008"	"2008"	74	60528	122.3
	"Prairie County, AR"	"05117"	"2008"	"2008"	12	8806	Unreliable
	"Pulaski County, AR"	"05119"	"2008"	"2008"	337	376567	89.5
	"Randolph County, AR"	"05121"	"2008"	"2008"	32	18072	177.1
	"St. Francis County, AR"	"05123"	"2008"	"2008"	25	28110	88.9
	"Saline County, AR"	"05125"	"2008"	"2008"	98	102599	95.5
	"Scott County, AR"	"05127"	"2008"	"2008"	12	11227	Unreliable
	"Searcy County, AR"	"05129"	"2008"	"2008"	11	8274	Unreliable
	"Sebastian County, AR"	"05131"	"2008"	"2008"	124	123762	100.2
	"Sevier County, AR"	"05133"	"2008"	"2008"	26	16606	156.6
	"Sharp County, AR"	"05135"	"2008"	"2008"	27	17416	155.0
	"Stone County, AR"	"05137"	"2008"	"2008"	15	12370	Unreliable
	"Union County, AR"	"05139"	"2008"	"2008"	63	42222	149.2
	"Van Buren County, AR"	"05141"	"2008"	"2008"	22	17373	126.6
	"Washington County, AR"	"05143"	"2008"	"2008"	144	197223	73.0
	"White County, AR"	"05145"	"2008"	"2008"	81	74848	108.2
	"Woodruff County, AR"	"05147"	"2008"	"2008"	12	7458	Unreliable
	"Yell County, AR"	"05149"	"2008"	"2008"	28	21935	127.6
	"Alameda County, CA"	"06001"	"2008"	"2008"	909	1477208	61.5
	"Amador County, CA"	"06005"	"2008"	"2008"	63	38248	164.7
	"Butte County, CA"	"06007"	"2008"	"2008"	275	219034	125.6
	"Calaveras County, CA"	"06009"	"2008"	"2008"	61	46265	131.8
	"Colusa County, CA"	"06011"	"2008"	"2008"	12	21134	Unreliable
	"Contra Costa County, CA"	"06013"	"2008"	"2008"	735	1023344	71.8
	"Del Norte County, CA"	"06015"	"2008"	"2008"	27	28496	94.8
	"El Dorado County, CA"	"06017"	"2008"	"2008"	128	179150	71.4
	"Fresno County, CA"	"06019"	"2008"	"2008"	615	909630	67.6
	"Glenn County, CA"	"06021"	"2008"	"2008"	25	28019	89.2
	"Humboldt County, CA"	"06023"	"2008"	"2008"	139	132657	104.8
	"Imperial County, CA"	"06025"	"2008"	"2008"	83	167917	49.4
	"Inyo County, CA"	"06027"	"2008"	"2008"	21	18318	114.6
	"Kern County, CA"	"06029"	"2008"	"2008"	620	818327	75.8
	"Kings County, CA"	"06031"	"2008"	"2008"	85	152027	55.9
	"Lake County, CA"	"06033"	"2008"	"2008"	94	64392	146.0
	"Lassen County, CA"	"06035"	"2008"	"2008"	31	35221	88.0
	"Los Angeles County, CA"	"06037"	"2008"	"2008"	5656	9735147	58.1
	"Madera County, CA"	"06039"	"2008"	"2008"	113	148359	76.2
	"Marin County, CA"	"06041"	"2008"	"2008"	189	248398	76.1
	"Mariposa County, CA"	"06043"	"2008"	"2008"	21	18412	114.1
	"Mendocino County, CA"	"06045"	"2008"	"2008"	78	87468	89.2
	"Merced County, CA"	"06047"	"2008"	"2008"	135	250538	53.9
	"Modoc County, CA"	"06049"	"2008"	"2008"	13	9551	Unreliable
	"Monterey County, CA"	"06053"	"2008"	"2008"	205	406022	50.5
	"Napa County, CA"	"06055"	"2008"	"2008"	135	134093	100.7
	"Nevada County, CA"	"06057"	"2008"	"2008"	104	98200	105.9
	"Orange County, CA"	"06059"	"2008"	"2008"	1726	2957593	58.4
	"Placer County, CA"	"06061"	"2008"	"2008"	272	337568	80.6
	"Plumas County, CA"	"06063"	"2008"	"2008"	32	20410	156.8
	"Riverside County, CA"	"06065"	"2008"	"2008"	1351	2109712	64.0
	"Sacramento County, CA"	"06067"	"2008"	"2008"	1023	1394438	73.4
	"San Benito County, CA"	"06069"	"2008"	"2008"	26	54267	47.9
	"San Bernardino County, CA"	"06071"	"2008"	"2008"	1225	2003735	61.1
	"San Diego County, CA"	"06073"	"2008"	"2008"	1689	3022116	55.9
	"San Francisco County, CA"	"06075"	"2008"	"2008"	514	791152	65.0
	"San Joaquin County, CA"	"06077"	"2008"	"2008"	460	671692	68.5
	"San Luis Obispo County, CA"	"06079"	"2008"	"2008"	228	266358	85.6
	"San Mateo County, CA"	"06081"	"2008"	"2008"	474	703830	67.3
	"Santa Barbara County, CA"	"06083"	"2008"	"2008"	264	415859	63.5
	"Santa Clara County, CA"	"06085"	"2008"	"2008"	833	1740964	47.8
	"Santa Cruz County, CA"	"06087"	"2008"	"2008"	121	256520	47.2
	"Shasta County, CA"	"06089"	"2008"	"2008"	271	177247	152.9
	"Siskiyou County, CA"	"06093"	"2008"	"2008"	52	44780	116.1
	"Solano County, CA"	"06095"	"2008"	"2008"	265	408972	64.8
	"Sonoma County, CA"	"06097"	"2008"	"2008"	368	473091	77.8
	"Stanislaus County, CA"	"06099"	"2008"	"2008"	356	509032	69.9
	"Sutter County, CA"	"06101"	"2008"	"2008"	69	93855	73.5
	"Tehama County, CA"	"06103"	"2008"	"2008"	96	62648	153.2
	"Trinity County, CA"	"06105"	"2008"	"2008"	16	13656	Unreliable
	"Tulare County, CA"	"06107"	"2008"	"2008"	260	429283	60.6
	"Tuolumne County, CA"	"06109"	"2008"	"2008"	71	56320	126.1
	"Ventura County, CA"	"06111"	"2008"	"2008"	481	806353	59.7
	"Yolo County, CA"	"06113"	"2008"	"2008"	135	197154	68.5
	"Yuba County, CA"	"06115"	"2008"	"2008"	55	71773	76.6
	"Adams County, CO"	"08001"	"2008"	"2008"	282	424913	66.4
	"Alamosa County, CO"	"08003"	"2008"	"2008"	14	15300	Unreliable
	"Arapahoe County, CO"	"08005"	"2008"	"2008"	372	552461	67.3
	"Bent County, CO"	"08011"	"2008"	"2008"	17	5962	Unreliable
	"Boulder County, CO"	"08013"	"2008"	"2008"	160	290859	55.0
	"Broomfield County, CO"	"08014"	"2008"	"2008"	23	53181	43.2
	"Chaffee County, CO"	"08015"	"2008"	"2008"	18	17573	Unreliable
	"Conejos County, CO"	"08021"	"2008"	"2008"	11	8200	Unreliable
	"Crowley County, CO"	"08025"	"2008"	"2008"	10	5947	Unreliable
	"Delta County, CO"	"08029"	"2008"	"2008"	46	30712	149.8
	"Denver County, CO"	"08031"	"2008"	"2008"	456	575721	79.2
	"Douglas County, CO"	"08035"	"2008"	"2008"	58	275500	21.1
	"Elbert County, CO"	"08039"	"2008"	"2008"	13	22634	Unreliable
	"El Paso County, CO"	"08041"	"2008"	"2008"	362	597919	60.5
